Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,CA
1,22,21.1,8.7,6,25,0.101325,2500,1,0.5,1.25,33.96
2,22,21.1,2.5,6,25,0.101325,250,1,5,1.25,3.504
3,22,21.1,4.7,6,25,0.101325,250,1,5,1.25,3.876
4,22,21.1,2,6,25,0.101325,250,1,5,1.25,5.652
5,22,21.1,0.1,6,25,0.101325,250,1,5,1.25,2.532
6,22,21.2,8.4,6,30,0.101325,2000,2,2,4,0.735
7,22,21.2,8.4,6,30,0.101325,2000,10,2,4,0.425
8,22,21.2,8.4,6,30,0.101325,2000,30,2,4,0.401
9,22,21.2,8.4,6,30,0.101325,2000,60,2,4,0.242
10,22,21.2,8.4,6,30,0.101325,4000,30,2,8,0.291
11,22,21.2,8.4,6,30,0.101325,6000,30,2,12,0.307
12,22,21.2,8.4,6,1,0.101325,2000,30,2,4,0.098
13,22,21.2,8.4,6,-10,0.101325,2000,30,2,4,0.015
14,22,20.1,8.4,6,20,0.1,1250,20,1,1.25,10.3
15,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,11.82
16,22,20.1,8.4,6,40,0.1,1250,20,1,1.25,9.7
17,22,20.1,8.4,6,50,0.1,1250,20,1,1.25,9.03
18,22,20.1,8.4,6,60,0.1,1250,20,1,1.25,7.8
19,22,20.1,8.4,6,20,0.1,1250,20,1,1.25,8.47
20,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,8.54
21,22,20.1,8.4,6,40,0.1,1250,20,1,1.25,9.1
22,22,20.1,8.4,6,50,0.1,1250,20,1,1.25,8.87
23,22,20.1,8.4,6,60,0.1,1250,20,1,1.25,8.07
24,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,11.43
25,22,20.1,8.4,6,30,0.1,625,20,2,1.25,9.08
26,22,20.1,8.4,6,30,0.1,417,20,3,1.25,7.79
27,22,20.1,8.4,6,30,0.1,313,20,4,1.25,6.1
28,22,20.1,8.4,6,30,0.1,250,20,5,1.25,5.35
29,22,20.1,8.4,6,30,0.1,208,20,6,1.25,4.16
30,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,9
31,22,20.1,8.4,6,30,0.1,1450,20,1,1.45,9.66
32,22,20.1,8.4,6,30,0.1,1650,20,1,1.65,9.63
