Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MW
1,22,21.1,8.7,6,25,0.101325,2500,1,0.5,1.25,41.2
2,22,21.1,2.5,6,25,0.101325,250,1,5,1.25,4.9
3,22,21.1,4.7,6,25,0.101325,250,1,5,1.25,5.1
4,22,21.1,2,6,25,0.101325,250,1,5,1.25,7.5
5,22,21.1,0.1,6,25,0.101325,250,1,5,1.25,4.4
6,22,21.2,8.4,6,30,0.101325,2000,2,2,4,1.05
7,22,21.2,8.4,6,30,0.101325,2000,10,2,4,6.12
8,22,21.2,8.4,6,30,0.101325,2000,30,2,4,16.8
9,22,21.2,8.4,6,30,0.101325,2000,60,2,4,25.5
10,22,21.2,8.4,6,30,0.101325,4000,30,2,8,13.8
11,22,21.2,8.4,6,30,0.101325,6000,30,2,12,14.7
12,22,21.2,8.4,6,1,0.101325,2000,30,2,4,6.77
13,22,21.2,8.4,6,-10,0.101325,2000,30,2,4,4.57
14,22,20.1,8.4,6,20,0.1,1250,20,1,1.25,114
15,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,105
16,22,20.1,8.4,6,40,0.1,1250,20,1,1.25,127
17,22,20.1,8.4,6,50,0.1,1250,20,1,1.25,81
18,22,20.1,8.4,6,60,0.1,1250,20,1,1.25,70
19,22,20.1,8.4,6,20,0.1,1250,20,1,1.25,114
20,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,136
21,22,20.1,8.4,6,40,0.1,1250,20,1,1.25,127
22,22,20.1,8.4,6,50,0.1,1250,20,1,1.25,94
23,22,20.1,8.4,6,60,0.1,1250,20,1,1.25,75
24,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,106
25,22,20.1,8.4,6,30,0.1,625,20,2,1.25,106
26,22,20.1,8.4,6,30,0.1,417,20,3,1.25,113
27,22,20.1,8.4,6,30,0.1,250,20,5,1.25,91
28,22,20.1,8.4,6,30,0.1,313,20,4,1.25,82
29,22,20.1,8.4,6,30,0.1,208,20,6,1.25,72
