Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MW
91,22,20.5,1.9,6,25,0.1,250,1.0,5.0,1.25,0.8
178,40,27.6,8.4,6,25,0.1,500,5.0,0.5,0.25,3.43
125,22,37.4,0.1,6,60,1.0,2000,50.0,20.0,40.0,1.7
122,22,29.3,0.1,6,60,1.0,2000,50.0,10.0,20.0,20.23
105,22,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,14.5
182,40,23.1,8.4,6,25,0.1,1250,5.0,0.5,0.625,0.17
217,22,20.3,8.4,6,60,0.5,2000,20.0,5.0,10.0,3.39
126,22,37.4,0.1,6,40,0.5,2000,50.0,20.0,40.0,6.91
45,22,20.1,8.4,6,40,0.5,1450,20.0,3.0,4.35,118.0
81,22,21.2,8.4,6,30,0.101325,2000,30.0,5.0,10.0,52.2
186,40,19.4,2.9,2,25,0.1,1250,5.0,0.5,0.625,23.41
144,22,21.1,8.7,6,25,0.1,2500,1.0,0.5,1.25,41.2
7,22,21.2,8.4,6,30,0.101325,2000,10.0,2.0,4.0,6.12
171,40,27.6,8.4,6,25,0.1,6250,5.0,0.2,1.25,0.93
204,72,21.1,8.7,6,30,0.4,2000,30.0,0.5,1.0,7.2
100,22,20.5,1.9,6,25,0.1,250,30.0,5.0,1.25,40.2
57,22,21.1,8.7,6,50,0.101325,2500,1.0,0.5,1.25,42.4
176,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,1.25,1.8
32,22,20.1,8.4,6,30,0.1,1650,20.0,1.0,1.65,120.0
218,22,20.3,8.4,6,80,0.5,2000,20.0,5.0,10.0,5.71
31,22,20.1,8.4,6,30,0.1,1450,20.0,1.0,1.45,118.0
210,22,20.5,8.4,6,60,0.3,2000,20.0,5.0,10.0,24.76
12,22,21.2,8.4,6,1,0.101325,2000,30.0,2.0,4.0,6.77
101,22,20.5,0.1,6,25,0.1,250,30.0,5.0,1.25,6.6
83,22,21.2,8.4,6,30,0.101325,2000,60.0,5.0,10.0,69.9
219,22,20.3,8.4,6,60,1.0,2000,10.0,5.0,10.0,7.0
58,22,21.1,8.7,6,75,0.101325,1250,0.5,1.0,1.25,21.4
121,22,29.3,0.1,6,80,0.5,2000,50.0,5.0,10.0,8.22
54,22,21.1,8.7,6,25,0.101325,2500,0.5,0.5,1.25,19.1
134,22,21.1,0.1,6,60,0.5,2000,50.0,20.0,40.0,8.43
145,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,25.7
103,22,21.1,2.0,6,25,0.1,250,1.0,5.0,1.25,7.5
46,22,20.5,0.1,6,25,0.101325,250,30.0,5.0,1.25,2.1
42,22,20.1,8.4,6,40,0.2,1450,20.0,3.0,4.35,117.0
24,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,106.0
189,40,23.1,8.4,4,25,0.1,12500,5.0,0.1,1.25,0.12
124,22,37.4,0.1,6,60,0.5,2000,50.0,20.0,40.0,2.14
123,22,37.4,0.1,6,60,0.3,2000,50.0,20.0,40.0,3.99
195,72,25.5,8.4,6,30,0.4,2000,30.0,1.0,2.0,6.8
168,40,17.5,8.4,4,25,0.1,6250,5.0,0.2,1.25,0.12
111,22,25.5,8.4,6,25,0.1,250,30.0,5.0,1.25,35.5
167,40,17.5,8.4,6,25,0.1,6250,5.0,0.2,1.25,0.12
51,22,27.6,8.4,6,25,0.101325,250,30.0,5.0,1.25,22.95
174,40,27.6,8.4,6,25,0.1,6250,5.0,0.2,1.25,0.6
40,22,20.1,8.4,6,30,0.1,1450,60.0,1.0,1.45,130.0
60,22,21.1,8.7,6,25,0.101325,1250,3.0,1.0,1.25,3.5
197,72,23.5,9.1,3,80,0.4,2000,30.0,0.1,0.2,3.1
130,22,19.9,0.1,6,60,1.0,2000,50.0,20.0,40.0,0.61
151,22,20.5,8.4,6,50,0.9,2500,30.0,0.5,1.25,19.5
118,22,29.3,0.1,6,60,0.3,2000,50.0,10.0,20.0,5.51
88,72,20.5,8.4,6,25,0.1,250,5.0,5.0,1.25,0.6
