Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MWD
1,22,21.1,8.7,6,25,0.101325,2500,1,0.5,1.25,1.13
2,22,21.1,2.5,6,25,0.101325,250,1,5,1.25,1.05
3,22,21.1,4.7,6,25,0.101325,250,1,5,1.25,1.1
4,22,21.1,2,6,25,0.101325,250,1,5,1.25,1.16
5,22,21.1,0.1,6,25,0.101325,250,1,5,1.25,1.08
6,22,21.2,8.4,6,30,0.101325,2000,2,2,4,1.38
7,22,21.2,8.4,6,30,0.101325,2000,10,2,4,1.17
8,22,21.2,8.4,6,30,0.101325,2000,30,2,4,1.43
9,22,21.2,8.4,6,30,0.101325,2000,60,2,4,1.45
10,22,21.2,8.4,6,30,0.101325,4000,30,2,8,1.28
11,22,21.2,8.4,6,30,0.101325,6000,30,2,12,1.3
12,22,21.2,8.4,6,1,0.101325,2000,30,2,4,1.3
13,22,21.2,8.4,6,-10,0.101325,2000,30,2,4,1.32
14,22,20.1,8.4,6,20,0.1,1250,20,1,1.25,1.72
15,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,1.71
16,22,20.1,8.4,6,40,0.1,1250,20,1,1.25,1.73
17,22,20.1,8.4,6,50,0.1,1250,20,1,1.25,1.64
18,22,20.1,8.4,6,60,0.1,1250,20,1,1.25,1.57
19,22,20.1,8.4,6,20,0.1,1250,20,1,1.25,1.68
20,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,1.59
21,22,20.1,8.4,6,40,0.1,1250,20,1,1.25,1.52
22,22,20.1,8.4,6,50,0.1,1250,20,1,1.25,1.75
23,22,20.1,8.4,6,60,0.1,1250,20,1,1.25,1.63
24,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,1.72
25,22,20.1,8.4,6,30,0.1,625,20,2,1.25,1.67
26,22,20.1,8.4,6,30,0.1,417,20,3,1.25,1.45
27,22,20.1,8.4,6,30,0.1,313,20,4,1.25,1.72
28,22,20.1,8.4,6,30,0.1,250,20,5,1.25,1.78
29,22,20.1,8.4,6,30,0.1,208,20,6,1.25,1.83
30,22,20.1,8.4,6,30,0.1,1250,20,1,1.25,1.8
31,22,20.1,8.4,6,30,0.1,1450,20,1,1.45,1.53
32,22,20.1,8.4,6,30,0.1,1650,20,1,1.65,1.6
33,22,20.1,8.4,6,30,0.1,1850,20,1,1.85,1.59
34,22,20.1,8.4,6,30,0.1,2050,20,1,2.05,2
35,22,20.1,8.4,6,30,0.1,1450,10,1,1.45,1.7
36,22,20.1,8.4,6,30,0.1,1450,20,1,1.45,1.62
37,22,20.1,8.4,6,30,0.1,1450,30,1,1.45,1.67
38,22,20.1,8.4,6,30,0.1,1450,40,1,1.45,1.61
39,22,20.1,8.4,6,30,0.1,1450,50,1,1.45,1.55
40,22,20.1,8.4,6,30,0.1,1450,60,1,1.45,1.53
41,22,20.1,8.4,6,40,0.1,1450,20,3,4.35,1.61
42,22,20.1,8.4,6,40,0.2,1450,20,3,4.35,1.65
43,22,20.1,8.4,6,40,0.3,1450,20,3,4.35,1.63
44,22,20.1,8.4,6,40,0.4,1450,20,3,4.35,1.65
45,22,20.1,8.4,6,40,0.5,1450,20,3,4.35,1.68
46,22,21.1,1.1,7,10,0.101325,625,20,2,1.25,1.13
47,22,21.1,1.1,7,20,0.101325,625,20,2,1.25,1.11
48,22,21.1,1.1,7,30,0.101325,625,20,2,1.25,1.1
49,22,21.1,1.1,7,40,0.101325,625,20,2,1.25,1.17
50,22,21.1,1.1,7,50,0.101325,625,20,2,1.25,2.34
51,22,21.1,1.7,8,10,0.101325,625,20,2,1.25,1.08
52,22,21.1,1.7,8,20,0.101325,625,20,2,1.25,1.14
53,22,21.1,1.7,8,30,0.101325,625,20,2,1.25,1.05
54,22,21.1,1.7,8,40,0.101325,625,20,2,1.25,1.33
55,22,21.1,1.7,8,50,0.101325,625,20,2,1.25,2.07
56,22,21.1,2.8,9,10,0.101325,625,20,2,1.25,1.15
57,22,21.1,2.8,9,20,0.101325,625,20,2,1.25,1.08
58,22,21.1,2.8,9,30,0.101325,625,20,2,1.25,1.16
59,22,21.1,2.8,9,40,0.101325,625,20,2,1.25,1.27
60,22,21.1,2.8,9,50,0.101325,625,20,2,1.25,1.26
61,22,21.1,1.7,8,30,0.101325,2500,20,1,2.5,1.1
62,22,21.1,1.7,8,30,0.101325,1250,20,2,2.5,1.11
63,22,21.1,1.7,8,30,0.101325,833,20,3,2.5,1.13
64,22,21.1,1.7,8,30,0.101325,625,20,4,2.5,1.16
65,22,21.1,1.7,8,30,0.101325,500,20,5,2.5,1.18
66,22,21.1,1.7,8,30,0.101325,417,20,6,2.5,1.24
67,22,21.1,1.7,8,30,0.101325,1825,10,2,1.65,1.37
68,22,21.1,1.7,8,30,0.101325,1825,20,2,1.65,1.23
69,22,21.1,1.7,8,30,0.101325,1825,30,2,1.65,1.19
70,22,21.1,1.7,8,30,0.101325,1825,40,2,1.65,1.15
71,22,21.1,1.7,8,30,0.101325,1825,50,2,1.65,1.13
72,22,21.1,1.7,8,30,0.101325,1825,60,2,1.65,1.1
