Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MWD
39,22,20.1,8.4,6,30,0.1,1450,50.0,1.0,1.45,1.55
100,22,18.8,8.7,6,50,0.101325,2500,1.0,0.5,1.25,1.99
38,22,20.1,8.4,6,30,0.1,1450,40.0,1.0,1.45,1.61
224,22,20.5,8.4,6,60,0.5,2000,20.0,5.0,10.0,2.2
175,40,27.6,8.4,6,25,0.1,12500,5.0,0.5,0.25,2.1
208,72,23.5,9.1,3,30,0.4,2000,30.0,0.1,0.2,6.3
83,22,21.1,8.7,6,50,0.101325,2500,0.5,0.5,1.25,1.08
20,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,1.59
16,22,20.1,8.4,6,40,0.1,1250,20.0,1.0,1.25,1.73
226,22,20.5,8.4,6,60,1.0,2000,10.0,2.5,5.0,2.0
33,22,20.1,8.4,6,30,0.1,1850,20.0,1.0,1.85,1.59
154,40,23.1,8.4,6,25,0.1,6250,5.0,0.2,1.25,1.8
77,22,25.5,8.4,6,25,0.101325,250,30.0,5.0,1.25,2.14
1,22,21.1,8.7,6,25,0.101325,2500,1.0,0.5,1.25,1.13
139,22,21.1,8.7,6,75,0.1,1250,1.0,1.0,1.25,1.15
188,40,27.6,8.4,6,25,0.1,900,30.0,0.5,0.25,5.88
148,22,21.1,2.8,9,70,0.2,2500,30.0,20.0,50.0,3.0
31,22,20.1,8.4,6,30,0.1,1450,20.0,1.0,1.45,1.53
181,40,27.6,8.4,6,25,0.1,1250,5.0,0.5,0.25,2.22
160,40,16.8,8.4,6,25,0.1,6250,5.0,0.2,1.25,1.8
50,22,21.1,1.1,7,50,0.101325,625,20.0,2.0,1.25,2.34
219,22,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,1.25
116,22,20.5,8.4,5,50,0.3,250,60.0,1.94,0.49,3.28
189,40,16.8,8.4,6,25,0.1,1250,5.0,0.5,0.625,2.0
125,22,21.1,8.7,6,50,0.1,250,1.0,5.0,1.25,1.13
41,22,20.1,8.4,6,40,0.1,1450,20.0,3.0,4.35,1.61
117,22,20.5,8.4,6,25,0.1,250,5.0,5.0,1.25,1.61
35,22,20.1,8.4,6,30,0.1,1450,10.0,1.0,1.45,1.7
51,22,21.1,1.7,8,10,0.101325,625,20.0,2.0,1.25,1.08
114,22,19.0,8.4,5,30,0.3,250,60.0,2.0,0.5,3.6
155,40,16.9,8.4,6,25,0.1,6250,5.0,0.2,1.25,1.9
93,22,21.1,8.7,6,50,0.101325,1250,15.0,1.0,1.25,1.19
78,22,27.6,8.4,6,25,0.101325,250,30.0,5.0,1.25,1.29
27,22,20.1,8.4,6,30,0.1,313,20.0,4.0,1.25,1.72
25,22,20.1,8.4,6,30,0.1,625,20.0,2.0,1.25,1.67
135,22,21.1,8.7,6,25,0.1,2500,1.0,0.5,1.25,1.13
198,40,17.5,8.4,6,25,0.1,12500,5.0,0.1,1.25,1.6
101,22,18.8,8.7,6,50,0.101325,2500,1.0,0.5,1.25,1.78
153,40,18.6,0.1,8,25,0.101325,1250,10.0,0.5,0.625,1.7
82,22,21.1,8.7,6,25,0.101325,2500,1.0,0.5,1.25,1.13
209,72,21.1,8.7,6,80,0.4,2000,30.0,2.0,4.0,4.5
176,40,20.5,8.4,6,25,0.1,2500,5.0,0.5,1.25,2.38
113,22,19.0,8.4,4,30,0.3,250,60.0,2.0,0.5,3.85
